Cars 2 	41	1562	1962	2911	3249	655	Bringing Out the Dead 	My Soul to Take 	Machete 	Adam Resurrected 	Apollo 13 
Green Lantern 	42	2603	1711	926	841	2721	Tootsie 	Runner Runner 	The Twilight Saga: New Moon 	The Nutty Professor 	Kiss Kiss Bang Bang 
Toy Story 3 	43	2700	1146	3898	189	3634	Brazil 	Victor Frankenstein 	The Boy Next Door 	War of the Worlds 	Beastmaster 2: Through the Portal of Time 
Terminator Salvation 	44	4271	4088	1509	573	3103	Touching the Void 	Water 	Bandidas 	Braveheart 	The Grudge 
Furious 7 	45	1632	3958	4387	650	1106	Like Mike 	1776 	You Can't Take It with You 	What Women Want 	The River Wild 
World War Z 	46	4944	4840	4988	3222	778	Sound of My Voice 	Fighting Tommy Riley 	Hayride 	The Chambermaid on the Titanic 	Star Trek: Nemesis 
X-Men: Days of Future Past 	47	103	3601	2564	4616	411	The Hunger Games: Mockingjay - Part 2 	Mr. Nice Guy 	White Oleander 	The Poker House 	Ocean's Thirteen 
Star Trek Into Darkness 	48	2426	1500	571	2071	422	Love Happens 	Radio Flyer 	Talladega Nights: The Ballad of Ricky Bobby 	In the Valley of Elah 	All That Jazz 
Jack the Giant Slayer 	49	3406	1145	3952	2245	3288	Prefontaine 	Underworld: Evolution 	The Last Time I Committed Suicide 	Georgia Rule 	The Purge: Anarchy 
The Great Gatsby 	50	2847	151	3840	3206	1983	Loaded Weapon 1 	Armageddon 	Out of the Blue 	The Iceman 	Brokedown Palace 
Prince of Persia: The Sands of Time 	51	4666	1789	4321	4561	4698	Live-In Maid 	Pride and Prejudice and Zombies 	Stitches 	Frozen River 	Hav Plenty 
Pacific Rim 	52	4771	3351	966	2496	3875	The King of Najayo 	The Karate Kid 	Hansel & Gretel: Witch Hunters 	Smokin' Aces 	Easy Money 
Transformers: Dark of the Moon 	53	4002	4923	3427	4532	4293	Train 	She's Gotta Have It 	My Lucky Star 	The Fog 	Clockwatchers 
Indiana Jones and the Kingdom of the Crystal Skull 	54	2665	3114	4269	1613	1429	Ramona and Beezus 	Friday After Next 	Gentleman's Agreement 	About Schmidt 	Malcolm X 
The Good Dinosaur 	55	4245	4347	3440	1007	1798	Containment 	Submarine 	An Education 	Twisted             	Welcome Home, Roscoe Jenkins 
Brave 	56	1884	1278	4710	1796	3802	The Untouchables 	The Other Boleyn Girl 	Mercy Streets 	Knocked Up 	Sleep Tight 
Star Trek Beyond 	57	296	743	698	4893	3483	Django Unchained 	Kangaroo Jack 	Wyatt Earp 	The Beast from 20,000 Fathoms 	The Man with the Golden Gun 
WALL·E 	58	1004	1147	1618	1737	2417	Blood Work 	Finding Forrester 	Hope Springs 	Keeping the Faith 	Honey 
Rush Hour 3 	59	2277	2580	2220	4545	1066	The Quiet American 	Things We Lost in the Fire 	One Missed Call 	The Devil Inside 	Insomnia 
2012 	60	4219	128	132	1797	2781	Go for It! 	Mad Max: Fury Road 	G-Force 	My Sister's Keeper 	The Iron Lady 
A Christmas Carol 	61	1870	748	3228	2382	1071	W. 	Starsky & Hutch 	Edmond 	The Nutcracker 	The Infiltrator 
Jupiter Ascending 	62	5034	4632	4294	3881	4162	Cavite 	Charly 	The Virginity Hit 	Animal Kingdom             	The Black Stallion 
The Legend of Tarzan 	63	1558	2604	3449	4607	1410	A History of Violence 	Top Gun 	Alias Betty 	The Jimmy Show 	Identity Thief 
The Chronicles of Narnia: The Lion, the Witch and the Wardrobe 	64	3665	394	1437	184	3504	Khiladi 786 	Twister 	Resident Evil 	Kung Fu Panda 	Rabbit-Proof Fence 
X-Men: Apocalypse 	65	68	4324	926	44	1910	Monsters vs. Aliens 	Bananas 	The Twilight Saga: New Moon 	Terminator Salvation 	Money Talks 
The Dark Knight 	66	2436	3568	3535	3434	2430	I Love You, Beth Cooper 	The Work and the Glory II: American Zion 	The Boondock Saints 	Driving Miss Daisy 	Small Time Crooks 
Up 	67	3086	4806	2502	3878	798	September Dawn 	My Beautiful Laundrette 	The Hills Have Eyes 	Cargo 	The Last Castle 
Monsters vs. Aliens 	68	720	4430	3363	3785	4904	The Prince of Egypt 	The Salon 	28 Days Later... 	The Oh in Ohio 	Call + Response 
Iron Man 	69	2083	2628	4520	2319	3639	The Santa Clause 	Big Fat Liar 	Dracula: Pages from a Virgin's Diary 	I'm Not There. 	Come Early Morning 
Hugo 	70	524	3624	590	531	3792	Madagascar 	Hedwig and the Angry Inch 	Hercules 	Hairspray 	Tucker and Dale vs Evil 
Wild Wild West 	71	4132	3257	4457	3377	1576	They Came Together 	Gunless 	Batman: The Movie 	New Nightmare 	Flight 
The Mummy: Tomb of the Dragon Emperor 	72	2069	4353	3722	3984	3539	The End of the Affair 	Man on Wire 	The Man from Snowy River 	The Full Monty 	Alpha and Omega 4: The Legend of the Saw Toothed Cave 
Suicide Squad 	73	4391	1556	214	4634	2587	Foolish 	1941 	Total Recall 	Jesse             	Good 
Evan Almighty 	74	2229	659	3686	4518	4683	She's Out of My League 	You've Got Mail 	Animals 	From a Whisper to a Scream 	Interview with the Assassin 
Edge of Tomorrow 	75	2636	1956	4825	2461	3943	Cop Land 	Bright Lights, Big City 	Dogtooth 	Restoration 	Buen Día, Ramón 
Waterworld 	76	1472	1203	5007	556	119	Superhero Movie 	Bram Stoker's Dracula 	Down Terrace 	Titan A.E. 	Ratatouille 
G.I. Joe: The Rise of Cobra 	77	4790	3524	876	1453	1933	Roadside 	I Hope They Serve Beer in Hell 	The Pirates! Band of Misfits 	J. Edgar 	Tora! Tora! Tora! 
Inside Out 	78	4064	1984	1310	3918	842	Pokémon 3: The Movie 	The Possession 	Pandorum 	The Rules of Attraction 	Hitch 
The Jungle Book 	79	4973	516	61	1685	118	Pi 	The Little Prince 	A Christmas Carol 	The Replacement Killers 	Charlie and the Chocolate Factory 
Iron Man 2 	80	3423	3999	862	4168	2639	Akira 	Gods and Monsters 	Executive Decision 	Blazing Saddles 	Aloha 
Snow White and the Huntsman 	81	3185	1358	1351	3222	3543	On the Line 	White Squall 	Paul Blart: Mall Cop 2 	The Chambermaid on the Titanic 	High School Musical 2 
Maleficent 	82	3838	2420	4690	2660	2848	Treading Water 	The Fog 	Destiny 	Grosse Pointe Blank 	The Shallows 
Dawn of the Planet of the Apes 	83	4587	2268	3074	3703	1061	Once in a Lifetime: The Extraordinary Story of the New York Cosmos 	Disaster Movie 	Jindabyne 	A Nightmare on Elm Street 3: Dream Warriors 	Solaris 
The Lovers 	84	1794	9	50	1400	1827	Brick Mansions 	Harry Potter and the Half-Blood Prince 	The Great Gatsby 	Batman 	Flawless 
47 Ronin 	85	132	2330	3891	4393	3377	G-Force 	The Children of Huang Shi 	Exodus: Gods and Kings 	Caramel 	New Nightmare 
Captain America: The Winter Soldier 	86	2954	1974	3802	2737	3359	The Upside of Anger 	Lords of Dogtown 	Sleep Tight 	The Assassin 	The Sound of Music 
Shrek Forever After 	87	694	2948	2797	2324	227	Perfume: The Story of a Murderer 	Rounders 	Jason X 	Bon voyage 	Prometheus 
Tomorrowland 	88	588	2706	1320	1806	2377	Inglourious Basterds 	A Mighty Heart 	Hackers 	Kiss the Girls 	Sex Drive 
Big Hero 6 	89	4721	4887	753	1360	2031	Love Letters 	Along the Roadside 	The Jackal 	Riddick 	Nurse Betty 
Wreck-It Ralph 	90	900	1295	2262	3765	4390	All the King's Men 	Fantastic Mr. Fox 	Twilight 	Slums of Beverly Hills 	Grace Unplugged 
The Polar Express 	91	1225	1379	3626	2918	1362	Behind Enemy Lines 	John Q 	Goddess of Love 	American Pie 	Texas Rangers 
Independence Day: Resurgence 	92	923	1304	4004	4663	1876	Me, Myself & Irene 	Cirque du Freak: The Vampire's Assistant 	Pootie Tang 	Raising Victor Vargas 	The Fifth Estate 
How to Train Your Dragon 	93	2216	4781	1251	192	1584	Wild Things 	Bloody Sunday 	Ri¢hie Ri¢h 	Salt 	Get Shorty 
Terminator 3: Rise of the Machines 	94	4840	2437	1148	3146	3538	Fighting Tommy Riley 	Youth in Revolt 	28 Days 	Tremors 	Snow Queen 
Guardians of the Galaxy 	95	2882	784	318	1513	4652	Brothers 	Righteous Kill 	Point Break 	The Age of Innocence 	1982 
Interstellar 	96	4429	87	3480	4469	2161	My Name Is Bruce 	Shrek Forever After 	The Claim 	Def-Con 4 	Jaws 2 
Inception 	97	615	4345	4001	4338	3291	I Spy 	The Marine 4: Moving Target 	Day of the Dead 	Slacker Uprising 	The Contender 
Godzilla Resurgence 	98	2836	4738	2458	4545	364	RoboCop 	The R.M. 	The Railway Man 	The Devil Inside 	The Girl with the Dragon Tattoo 
The Hobbit: An Unexpected Journey 	99	2329	2073	2529	2700	194	Equilibrium 	Forsaken 	Damnation Alley 	Brazil 	The Adventures of Tintin 
The Fast and the Furious 	100	3094	455	4759	1346	3265	The Purge: Election Year 	Face/Off 	Crazy Stone 	3rd Rock from the Sun             	Poltergeist III 
The Curious Case of Benjamin Button 	101	2733	4594	2189	3294	3874	Felicia's Journey 	The House of the Devil 	Orphan 	Black Christmas 	Sexy Beast 
X-Men: First Class 	102	4452	1381	3842	3359	2195	Incident at Loch Ness 	We're the Millers 	The Blue Lagoon 	The Sound of Music 	Lakeview Terrace 
The Hunger Games: Mockingjay - Part 2 	103	4669	364	677	4439	2633	The Young Unknowns 	The Girl with the Dragon Tattoo 	Primary Colors 	Wal-Mart: The High Cost of Low Price 	Krampus 
The Sorcerer's Apprentice 	104	3373	3749	1258	4441	548	Kicks 	Sunshine Cleaning 	The Doors 	Once Upon a Time in Queens 	The Man from U.N.C.L.E. 
Poseidon 	105	493	3491	4141	695	2824	Daylight 	Dope 	Cinderella 	Austin Powers in Goldmember 	Dekalog             
Alice Through the Looking Glass 	106	4826	2746	469	1950	3340	Tupac: Resurrection 	All the Queen's Men 	Conspiracy Theory 	Don't Be Afraid of the Dark 	Glitter 
Shrek the Third 	107	2846	2586	2640	4301	3546	The New Guy 	Welcome to the Sticks 	The Skulls 	Saint John of Las Vegas 	Aimee & Jaguar 
Warcraft 	108	4514	955	3727	3072	2818	Bleeding Hearts 	Christmas with the Kranks 	Race 	Machine Gun McCain 	Flipped 
Terminator Genisys 	109	2883	188	3269	3175	764	Find Me Guilty 	Home 	Heavy Metal 	American History X 	Shooter 
The Chronicles of Narnia: The Voyage of the Dawn Treader 	110	145	696	4679	2953	3981	Pan 	Astro Boy 	Kill List 	Philomena 	Unknown 
Pearl Harbor 	111	4735	2481	1141	2813	3362	Osama 	Hitman 	Rambo: First Blood Part II 	Amen. 	Stand by Me 
Transformers 	112	3118	701	1869	4962	1687	The Lawnmower Man 	Littleman 	Gran Torino 	The Lost Skeleton of Cadavra 	Eight Legged Freaks 
Alexander 	113	2374	3927	3316	1934	1753	Firestorm 	You Kill Me 	Opal Dream 	Spice World 	Once Upon a Time in Mexico 
Harry Potter and the Order of the Phoenix 	114	2546	3173	4124	3324	3996	The Unborn 	Cedar Rapids 	The Divide 	Ultramarines: A Warhammer 40,000 Movie 	The Witch 
Harry Potter and the Goblet of Fire 	115	3571	4872	2965	1009	2112	Aberdeen 	Exam 	Living Out Loud 	The Life Aquatic with Steve Zissou 	RoboCop 3 
Hancock 	116	4159	2239	2186	2251	652	Diary of the Dead 	Appaloosa 	Boogeyman 	School for Scoundrels 	Dreamcatcher 
I Am Legend 	117	1043	220	2454	3844	4028	Panic Room 	Mission: Impossible II 	Hamlet 	Fast Times at Ridgemont High 	Whiplash 
Charlie and the Chocolate Factory 	118	929	11	2195	2966	2610	Robin Hood: Prince of Thieves 	Superman Returns 	Lakeview Terrace 	Just Wright 	The Yellow Handkerchief 
Ratatouille 	119	1486	266	2850	42	2255	The Shipping News 	The Smurfs 2 	Snow Day 	Green Lantern 	Home for the Holidays 
Batman Begins 	120	1441	1066	3030	297	361	In Time 	Insomnia 	Jackass Number Two 	The Hunchback of Notre Dame 	The Departed 
Madagascar: Escape 2 Africa 	121	1302	3941	2909	4095	1254	The Deep End of the Ocean 	Psycho Beach Party 	The Funeral 	8 Heads in a Duffel Bag 	Paul 
Night at the Museum: Battle of the Smithsonian 	122	2801	5031	4688	327	1407	Fun Size 	"Sanctuary	 Quite a Conundrum "	Hoop Dreams 	The Flowers of War 	True Grit 
X-Men Origins: Wolverine 	123	2515	1090	1791	4013	3392	Evil Dead 	Coach Carter 	How to Lose Friends & Alienate People 	The Betrayed 	Prom 
The Matrix Revolutions 	124	1805	306	912	2335	1819	The Jungle Book 	End of Days 	Zero Dark Thirty 	The Game of Their Lives 	Return to Oz 
Frozen 	125	2390	27	4344	4241	437	The Invention of Lying 	Captain America: Civil War 	Northfork 	Mi America 	The Expendables 
The Matrix Reloaded 	126	1988	4126	2320	780	3780	Stone Cold 	Demonic 	The Cold Light of Day 	Trouble with the Curve 	Light Sleeper 
Thor: The Dark World 	127	2247	1568	4981	3144	2535	Ladyhawke 	Cradle Will Rock 	Tiger Orange 	Mo' Better Blues 	Sense and Sensibility 
Mad Max: Fury Road 	128	1546	1893	3913	3527	4991	This Is the End 	Romeo Must Die 	The Night Listener 	Dom Hemingway 	The Call of Cthulhu 
Angels & Demons 	129	3720	3080	1457	477	4864	The Way Way Back 	E.T. the Extra-Terrestrial 	Untraceable 	Déjà Vu 	Like Crazy 
Thor 	130	2972	2853	638	2323	1920	Sorority Boys 	The Big Hit 	Hall Pass 	Princess Mononoke 	The Giver 
Bolt 	131	1220	4197	393	89	2210	Unbroken 	The Spectacular Now 	Seabiscuit 	Big Hero 6 	Scary Movie 5 
G-Force 	132	3409	2106	3399	3447	3698	Begin Again 	The Glass House 	Another Year 	Extract 	10 Cloverfield Lane 
Wrath of the Titans 	133	3796	993	1683	2080	744	Decoys 	For Love of the Game 	Ultraviolet 	The Water Diviner 	Coraline 
Dark Shadows 	134	3511	487	905	2954	2642	Redbelt 	The Brothers Grimm 	Black Mass 	The Upside of Anger 	Malibu's Most Wanted 
Mission: Impossible - Rogue Nation 	135	4666	4833	583	1587	2413	Live-In Maid 	Wendy and Lucy 	Cars 	American Pie 2 	Peggy Sue Got Married 
The Wolfman 	136	5031	1420	134	3392	3450	"Sanctuary	 Quite a Conundrum "	A Nightmare on Elm Street 	Dark Shadows 	Prom 	Code 46 
The Legend of Tarzan 	137	654	3742	4184	4658	88	The Matrix 	The Haunting of Molly Hartley 	Halloween III: Season of the Witch 	Windsor Drive 	Tomorrowland 
Bee Movie 	138	1057	3557	2023	2481	4227	Dick Tracy 	La Bamba 	Think Like a Man Too 	Hitman 	8 Days 
Kung Fu Panda 2 	139	4952	226	1456	561	2059	Une Femme Mariée 	Charlie's Angels: Full Throttle 	Predator 2 	Flight of the Phoenix 	Eddie the Eagle 
The Last Airbender 	140	3713	2610	4583	521	1080	The Elephant Man 	The Yellow Handkerchief 	The Battle of Shaker Heights 	Despicable Me 2 	The Client 
Mission: Impossible III 	141	3344	2799	9	4904	4309	My Name Is Khan 	Bobby 	Harry Potter and the Half-Blood Prince 	Call + Response 	The Missing Person 
White House Down 	142	771	4140	1391	1474	4524	Year One 	Iguana 	Snow Falling on Cedars 	Cursed 	The Dead Undead 
Mars Needs Moms 	143	1349	1542	578	2210	4168	Enough 	Snow Dogs 	Two Brothers 	Scary Movie 5 	Blazing Saddles 
Flushed Away 	144	2790	2315	3106	1875	4981	Our Family Wedding 	Birth 	Bill & Ted's Excellent Adventure 	The Help 	Tiger Orange 
Pan 	145	4479	3229	1594	4270	1650	The Lion of Judah 	Welcome to the Rileys 	Lee Daniels' The Butler 	Winter's Bone 	Blue Crush 
Mr. Peabody & Sherman 	146	2231	4453	91	3423	1212	Stay Alive 	The Dog Lover 	The Polar Express 	Akira 	Ray 
Troy 	147	2296	3285	3826	3361	1524	The Man 	The Best Man 	Lady in White 	Little Miss Sunshine 	A Few Good Men 
Madagascar 3: Europe's Most Wanted 	148	4782	4719	3717	3802	4757	Diamond Ruff 	A Hard Day's Night 	Oculus 	Sleep Tight 	The Living Wake 
Die Another Day 	149	2843	2050	3301	2583	602	St. Vincent 	The Waterboy 	PCU 	The White Countess 	Big Fish 
Ghostbusters 	150	1850	3774	1387	158	958	Clockstoppers 	Jekyll and Hyde... Together Again 	Reindeer Games 	The Last Samurai 	Non-Stop 
Armageddon 	151	2938	353	2637	3967	4300	One Hour Photo 	Toy Story 2 	Not Another Teen Movie 	Ben-Hur 	It's All Gone Pete Tong 
Men in Black II 	152	1403	2434	4714	3220	3955	The Blind Side 	Life as a House 	They Will Have to Kill Us First 	The Swindle 	A Lonely Place to Die 
Beowulf 	153	3436	1985	694	3011	1469	Rumble in the Bronx 	Mrs. Winterbourne 	Perfume: The Story of a Murderer 	Legend of Kung Fu Rabbit 	Abduction 
Kung Fu Panda 3 	154	2782	3469	1226	4866	1908	Jonah: A VeggieTales Movie 	The Piano 	Get Him to the Greek 	Sugar Town 	The Last Emperor 
Mission: Impossible - Ghost Protocol 	155	1387	1825	4300	236	3208	Reindeer Games 	Money Monster 	It's All Gone Pete Tong 	Star Wars: Episode III - Revenge of the Sith 	Krrish 
Rise of the Guardians 	156	1301	4523	4561	2220	2898	Big Miracle 	The Raid: Redemption 	Frozen River 	One Missed Call 	True Romance 
Fun with Dick and Jane 	157	2572	4982	1111	3662	1329	Philadelphia 	Supporting Characters 	The Ant Bully 	Bend It Like Beckham 	Baahubali: The Beginning 
The Last Samurai 	158	2970	3762	502	2149	301	Das Boot 	Force 10 from Navarone 	Red Planet 	The Beaver 	Eragon 
Exodus: Gods and Kings 	159	987	365	4784	1905	656	Out of Time 	Die Hard with a Vengeance 	Poultrygeist: Night of the Chicken Dead 	Nanny McPhee 	Total Recall 
Star Trek 	160	4131	1250	4874	1361	3272	Open Road 	Aliens vs. Predator: Requiem 	Sunday School Musical 	Switchback 	Into the Grizzly Maze 
Spider-Man 	161	1426	1432	3468	3510	4403	Friends with Benefits 	Underworld: Rise of the Lycans 	500 Days of Summer 	Veer-Zaara 	Bloodsport 
How to Train Your Dragon 2 	162	3499	363	3128	3032	3683	Beyond the Lights 	Tropic Thunder 	The Outsiders 	If I Stay 	Irreversible 
Gods of Egypt 	163	3539	3091	1434	1548	4120	Alpha and Omega 4: The Legend of the Saw Toothed Cave 	Saw III 	The Benchwarmers 	Men of Honor 	Summer Storm 
Stealth 	164	4648	4474	2691	80	430	The Hammer 	Rebecca 	Knockaround Guys 	Iron Man 2 	Creepshow 
Watchmen 	165	3496	1823	3251	100	298	A Serious Man 	Martian Child 	It's a Wonderful Afterlife 	The Fast and the Furious 	The Emperor's New Groove 
Lethal Weapon 4 	166	4430	2078	2696	992	1664	The Salon 	1408 	Barney's Great Adventure 	Ninja Assassin 	Entourage             
Hulk 	167	3073	1807	4702	4743	2107	LOL 	The Blues Brothers 	The Hadza: Last of the First 	Civil Brand 	Hail, Caesar! 
G.I. Joe: Retaliation 	168	911	2597	193	4351	2948	Catch Me If You Can 	Slow Burn 	Noah 	ABCD (Any Body Can Dance) 	Rounders 
Sahara 	169	4634	1603	3358	3594	3649	Jesse             	Mystic River 	Club Dread 	Van Wilder: Party Liaison 	The Hit List 
Final Fantasy: The Spirits Within 	170	1728	1858	3409	3590	1012	The Color of Freedom 	Highlander: The Final Dimension 	Begin Again 	The Brothers 	Man of the House 
Captain America: The First Avenger 	171	4144	3609	2874	2213	1178	Central Station 	Bernie 	Birthday Girl 	Risen 	Animal Kingdom: Let's go Ape 
The World Is Not Enough 	172	3520	315	3538	3112	779	Mother and Child 	Treasure Planet 	Snow Queen 	The Boy 	Intolerable Cruelty 
Master and Commander: The Far Side of the World 	173	779	3462	1648	3099	1150	Intolerable Cruelty 	The Omega Code 	Secondhand Lions 	Madea's Family Reunion 	The Sweetest Thing 
The Twilight Saga: Breaking Dawn - Part 2 	174	4103	4114	2171	62	2562	DysFunktional Family 	Bachelorette 	The Descendants 	Jupiter Ascending 	Bad Moms 
Happy Feet 2 	175	3058	3673	3823	4167	4948	What's Eating Gilbert Grape 	High Plains Drifter 	Hostel 	A Guy Named Joe 	Romantic Schemer 
The Incredible Hulk 	176	3605	2616	4372	2232	1763	Sliding Doors 	Coal Miner's Daughter 	A Beginner's Guide to Snuff 	Quigley Down Under 	Identity 
Miami Vice             	177	3883	1398	876	4863	1831	Night Watch 	Ip Man 3 	The Pirates! Band of Misfits 	November 	The Magic Flute 
The BFG 	178	2884	4520	3168	4504	4178	The Perks of Being a Wallflower 	Dracula: Pages from a Virgin's Diary 	Dirty Pretty Things 	Q 	Singin' in the Rain 
The Revenant 	179	2324	2586	2730	1853	4153	Bon voyage 	Welcome to the Sticks 	Crazy in Alabama 	Agent Cody Banks 2: Destination London 	Unnatural 
Turbo 	180	4295	2834	4579	3334	1448	Subway 	Justin Bieber: Never Say Never 	Palo Alto 	Baggage Claim 	The Pianist 
Rango 	181	813	424	962	2992	1777	Holy Man 	Scott Pilgrim vs. the World 	Unforgotten             	The Great Beauty 	Blade Runner 
Penguins of Madagascar 	182	3123	2364	173	3184	452	Road House 	House on Haunted Hill 	Master and Commander: The Far Side of the World 	Black or White 	Shutter Island 
The Bourne Ultimatum 	183	2052	135	3634	3469	270	Bad Boys 	Mission: Impossible - Rogue Nation 	Beastmaster 2: Through the Portal of Time 	The Piano 	The Lord of the Rings: The Fellowship of the Ring 
Kung Fu Panda 	184	1178	1680	3399	1013	4544	Animal Kingdom: Let's go Ape 	The Five-Year Engagement 	Another Year 	Run All Night 	Transamerica 
Ant-Man 	185	1303	2563	4447	3083	1016	Feardotcom 	Boys and Girls 	#Horror 	There Goes My Baby 	The Messenger: The Story of Joan of Arc 
